No.,Title,Link
40,"Effects of breeding success, age and sex on breeding dispersal of a reintroduced population of the Crested Ibis (Nipponia nippon) in Ningshan County, China",http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-018-0132-7
41,"Food restriction decreases BMR, body and organ mass, and cellular energetics, in the Chinese Bulbul (Pycnonotus sinensis)",http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-018-0131-8
42,Effects of vegetation strata and human disturbance on bird diversity in green areas in a city in southern Chile,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-018-0130-9
43,Correction to: On the genetic distinctiveness of tailorbirds (Cisticolidae: Orthotomus) from the South-east Asian mainland with the description of a new subspecies,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-018-0128-3
44,Hawk mimicry does not reduce attacks of cuckoos by highly aggressive hosts,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-018-0127-4
45,Taxonomy of the White-browed Shortwing (Brachypteryx montana) complex on mainland Asia and Taiwan: an integrative approach supports recognition of three instead of one species,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-018-0125-6
46,Diet and habitat affinities in six raptor species in India,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-018-0129-2
47,Weather conditions affect spring and autumn migration of Siberian leaf warblers,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-018-0126-5
48,Research advances of Galliformes since 1990 and future prospects,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-018-0124-7
49,On the genetic distinctiveness of tailorbirds (Cisticolidae: Orthotomus) from the South-east Asian mainland with the description of a new subspecies,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-018-0123-8
50,Park size and prey density limit occurrence of Eurasian Sparrowhawks in urban parks during winter,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-018-0122-9
51,"Population dynamics and habitat use of the Black-necked Crane (Grus nigricollis) in the Yarlung Tsangpo River basin, Tibet, China",http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-019-0170-9
52,Disturbance increases high tide travel distance of a roosting shorebird but only marginally affects daily energy expenditure,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-019-0171-8
53,A global consistent positive effect of urban green area size on bird richness,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-019-0168-3
54,Size matters: wintering ducks stay longer and use fewer habitats on largest Chinese lakes,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-019-0167-4
55,Migration routes and strategies of Grey Plovers (Pluvialis squatarola) on the East Atlantic Flyway as revealed by satellite tracking,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-019-0166-5
56,Combined effects of habitat and interspecific interaction define co-occurrence patterns of sympatric Galliformes,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-019-0169-2
57,Function of the uropygial gland in eiders (Somateria mollissima),http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-019-0163-8
58,Diel and seasonal patterns of variation in the singing behaviour of Savannah Sparrows (Passerculus sandwichensis),http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-019-0165-6
59,Spatiotemporal distribution of seasonal bird assemblages on land-bridge islands: linking dynamic and static views of metacommunities,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-019-0164-7
60,"Egg laying and incubation rhythm of the Chinese Grouse (Tetrastes sewerzowi) at Lianhuashan, Gansu, China",http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-019-0161-x
61,Multispecies hybridization in birds,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-019-0159-4
62,"Using remotely sensed and climate data to predict the current and potential future geographic distribution of a bird at multiple scales: the case of Agelastes meleagrides, a western African forest endemic",http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-019-0160-y
63,"Bird diversity and waterbird habitat preferences in relation to wetland restoration at Dianchi Lake, south-west China",http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-019-0162-9
64,Spring migration duration exceeds that of autumn migration in Far East Asian Greater White-fronted Geese (Anser albifrons),http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-019-0157-6
65,Is male condition corrected with song features in Dusky Warblers (Phylloscopus fuscatus),http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-019-0158-5
66,Geographical location affects size and materials used in the construction of European Pied Flycatcher (Ficedula hypoleuca) nests,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-019-0156-7
67,Effects of capture and captivity on plasma corticosterone and metabolite levels in breeding Eurasian Tree Sparrows,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-019-0155-8
68,Multi-species habitat models highlight the key importance of flooded reedbeds for inland wetland birds: implications for management and conservation,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-019-0154-9
69,"Hey mister Tambourine Dove, sing a song for me: simple but individually specific songs of Turtur tympanistria from Cameroon",http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-019-0153-x
70,Nest box selection and reproduction of European Rollers in Central Italy: a 7-year study,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-019-0150-0
71,Are diurnal time-budgets and activity patterns density-dependent in the Shelduck (Tadorna tadorna) wintering in Algeria? An analysis across multiple temporal scales,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-019-0152-y
72,Colour-ring wear and loss effects in citizen science mark-resighting studies,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-019-0151-z
73,How can the home range of the Lesser Kestrel be affected by a large civil infrastructure?,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-019-0149-6
74,Roost selection of the endangered Spotted Greenshank (Tringa guttifer) in critical habitat in the Inner Gulf of Thailand,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-019-0148-7
75,Correlates of extinction risk in Chinese endemic birds,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-019-0147-8
76,Flight feather moult in Western Marsh Harriers during autumn migration,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-019-0146-9
77,Wintering Swan Geese maximize energy intake through substrate foraging depth when feeding on buried Vallisneria natans tubers,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-019-0145-x
78,Development and behavior of Plaintive Cuckoo (Cacomantis merulinus) nestlings and their Common Tailorbird (Orthotomus sutorius) hosts,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-019-0143-z
79,Habitat use and diel activity pattern of the Tibetan Snowcock (Tetraogallus tibetanus): a case study using camera traps for surveying high-elevation bird species,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-019-0144-y
80,Mercury concentrations in blood and feathers of nestling Bald Eagles in coastal and inland Virginia,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-019-0142-0
81,Adaptation or ecological trap? Altered nest-site selection by Reed Parrotbills after an extreme flood,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-019-0141-1
82,"Elevational patterns of bird species richness on the eastern slope of Mt. Gongga, Sichuan Province, China",http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-018-0140-7
83,Conservation genetics of a resident population of Greylag Goose (Anser anser) at the southernmost limit of the species’ distribution in Europe,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-018-0139-0
84,Variability among autumn migration patterns of Mongolian Common Shelducks (Tadorna tadorna),http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-018-0138-1
85,First complete genome sequence in Arborophila and comparative genomics reveals the evolutionary adaptation of Hainan Partridge (Arborophila ardens),http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-018-0136-3
86,Sequential vigilance is unpredictable in reproductive Black-necked Cranes,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-018-0137-2
87,"A potential distribution map of wintering Swan Goose (Anser cygnoides) in the middle and lower Yangtze River floodplain, China",http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-018-0134-5
88,Seasonal increase of nest height of the Silver-throated Tit (Aegithalos glaucogularis): can it reduce predation risk?,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-018-0135-4
89,Long-lived birds suffer less from oxidative stress,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-018-0133-6
90,"Effects of breeding success, age and sex on breeding dispersal of a reintroduced population of the Crested Ibis (Nipponia nippon) in Ningshan County, China",http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-018-0132-7
91,"Food restriction decreases BMR, body and organ mass, and cellular energetics, in the Chinese Bulbul (Pycnonotus sinensis)",http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-018-0131-8
92,Effects of vegetation strata and human disturbance on bird diversity in green areas in a city in southern Chile,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-018-0130-9
93,Correction to: On the genetic distinctiveness of tailorbirds (Cisticolidae: Orthotomus) from the South-east Asian mainland with the description of a new subspecies,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-018-0128-3
94,Hawk mimicry does not reduce attacks of cuckoos by highly aggressive hosts,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-018-0127-4
95,Taxonomy of the White-browed Shortwing (Brachypteryx montana) complex on mainland Asia and Taiwan: an integrative approach supports recognition of three instead of one species,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-018-0125-6
96,Diet and habitat affinities in six raptor species in India,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-018-0129-2
97,Weather conditions affect spring and autumn migration of Siberian leaf warblers,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-018-0126-5
98,Research advances of Galliformes since 1990 and future prospects,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-018-0124-7
99,On the genetic distinctiveness of tailorbirds (Cisticolidae: Orthotomus) from the South-east Asian mainland with the description of a new subspecies,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-018-0123-8
100,Park size and prey density limit occurrence of Eurasian Sparrowhawks in urban parks during winter,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-018-0122-9
101,Responses of early-successional songbirds to a two-stage shelterwood harvest for oak forest regeneration,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-018-0120-y
102,Description of the song of the Nilgiri Thrush (Zoothera [aurea] neilgherriensis) and song differentiation across the Zoothera dauma species complex,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-018-0121-x
103,Does nest sanitation elicit egg rejection in an open-cup nesting cuckoo host rejecter?,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-018-0119-4
104,The use of demersal trawling discards as a food source for two scavenging seabird species: a case study of an eastern Mediterranean oligotrophic marine ecosystem,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-018-0118-5
105,Abundance and prey capture success of Common Terns (Sterna hirundo) and Pied Kingfishers (Ceryle rudis) in relation to water clarity in south-east coastal Ghana,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-018-0116-7
106,Sperm collection in Black-legged Kittiwakes and characterization of sperm velocity and morphology,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-018-0117-6
107,Annual spatio-temporal migration patterns of Hooded Cranes wintering in Izumi based on satellite tracking and their implications for conservation,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-018-0114-9
108,Overlapping breeding attempts in the Bearded Tit (Panurus biarmicus),http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-018-0115-8
109,Last but not the least: effects of laying sequence on egg color variation and embryonic development of Russet Sparrow (Passer cinnamomeus),http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-018-0113-x
110,Road induced edge effects on a forest bird community in tropical Asia,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-018-0112-y
111,A new methodology for computing birds’ 3D home ranges,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-018-0109-6
